airtemp,humidity,pressure,rainfall,tracktemp,winddirection,windspeed,round,year
28.3,44.6,1009.4,False,32.7,75,1.0,2,2018
28.3,44.6,1009.4,False,32.7,6,0.6,2,2018
28.2,45.0,1009.4,False,32.4,11,0.9,2,2018
28.3,44.9,1009.5,False,32.4,206,0.7,2,2018
28.3,44.5,1009.5,False,32.5,330,1.7,2,2018
28.3,44.7,1009.5,False,32.4,122,1.1,2,2018
28.3,44.7,1009.5,False,32.4,122,1.1,2,2018
28.0,45.8,1009.5,False,32.2,0,1.7,2,2018
28.0,46.2,1009.5,False,32.1,20,0.7,2,2018
28.1,46.4,1009.5,False,32.2,35,0.9,2,2018
28.1,46.2,1009.4,False,32.2,9,1.2,2,2018
28.2,46.3,1009.5,False,32.3,358,1.0,2,2018
28.1,46.4,1009.4,False,32.2,179,0.7,2,2018
28.2,46.2,1009.5,False,32.2,18,1.4,2,2018
28.2,46.2,1009.5,False,32.2,18,1.4,2,2018
28.1,46.6,1009.6,False,32.2,139,0.8,2,2018
28.1,46.4,1009.5,False,32.2,350,0.8,2,2018
28.0,46.6,1009.5,False,32.0,115,0.7,2,2018
28.1,46.4,1009.6,False,32.0,156,0.9,2,2018
28.1,46.4,1009.5,False,32.2,359,0.9,2,2018
28.1,46.7,1009.5,False,32.0,336,0.9,2,2018
28.1,46.7,1009.5,False,32.0,336,0.9,2,2018
28.0,47.1,1009.5,False,31.9,12,0.5,2,2018
28.0,47.3,1009.5,False,31.9,9,1.0,2,2018
27.9,47.2,1009.5,False,31.8,359,0.8,2,2018
27.9,46.8,1009.5,False,31.8,21,1.0,2,2018
27.9,46.4,1009.5,False,31.9,323,0.6,2,2018
27.9,46.4,1009.5,False,31.9,323,0.6,2,2018
27.9,46.4,1009.5,False,31.9,323,0.6,2,2018
27.9,46.7,1009.6,False,31.9,14,1.2,2,2018
27.9,46.7,1009.6,False,31.9,14,1.2,2,2018
27.9,46.8,1009.5,False,31.7,350,1.6,2,2018
27.9,46.7,1009.6,False,31.8,153,1.3,2,2018
27.9,46.7,1009.6,False,31.8,153,1.3,2,2018
28.1,46.8,1009.5,False,31.8,312,1.3,2,2018
28.1,46.8,1009.5,False,31.8,312,1.3,2,2018
28.1,46.9,1009.5,False,31.9,0,1.3,2,2018
28.0,47.4,1009.5,False,31.8,51,0.9,2,2018
28.1,47.7,1009.5,False,31.7,321,0.8,2,2018
28.1,47.7,1009.5,False,31.7,321,0.8,2,2018
27.9,48.3,1009.6,False,31.7,237,0.4,2,2018
27.9,48.3,1009.6,False,31.7,237,0.4,2,2018
27.9,48.3,1009.6,False,31.7,237,0.4,2,2018
28.0,49.9,1009.5,False,31.9,186,0.0,2,2018
28.0,49.9,1009.5,False,31.9,186,0.0,2,2018
27.9,50.8,1009.7,False,31.4,264,0.8,2,2018
27.7,52.2,1009.6,False,31.4,268,0.9,2,2018
27.6,52.5,1009.6,False,31.1,270,1.1,2,2018
27.6,52.5,1009.6,False,31.1,270,1.1,2,2018
27.6,52.8,1009.6,False,31.1,359,1.4,2,2018
27.6,52.8,1009.6,False,31.1,359,1.4,2,2018
27.5,52.9,1009.6,False,31.1,155,0.7,2,2018
27.5,52.7,1009.6,False,31.1,178,0.8,2,2018
27.6,52.3,1009.7,False,31.3,199,0.9,2,2018
27.5,52.2,1009.7,False,31.2,49,0.5,2,2018
27.5,52.3,1009.7,False,31.2,2,0.9,2,2018
27.5,52.1,1009.7,False,31.3,358,0.4,2,2018
27.5,52.1,1009.7,False,31.3,358,0.4,2,2018
27.5,52.1,1009.8,False,31.3,8,0.7,2,2018
27.5,52.1,1009.8,False,31.3,8,0.7,2,2018
27.5,51.9,1009.8,False,31.3,40,0.6,2,2018
27.6,51.6,1009.8,False,31.4,187,0.7,2,2018
27.6,51.6,1009.8,False,31.4,187,0.7,2,2018
27.6,51.2,1009.9,False,31.3,0,0.5,2,2018
27.6,51.2,1009.9,False,31.3,0,0.5,2,2018
27.7,50.6,1009.9,False,31.5,0,0.5,2,2018
27.6,50.2,1010.0,False,31.5,352,0.9,2,2018
27.6,50.4,1010.0,False,31.1,74,1.0,2,2018
19.0,21.2,1018.3,False,39.0,104,1.8,3,2018
18.9,21.5,1018.3,False,39.0,86,2.2,3,2018
19.0,21.9,1018.4,False,39.0,117,2.2,3,2018
19.1,22.3,1018.3,False,39.0,107,1.9,3,2018
19.2,22.4,1018.3,False,39.0,104,1.4,3,2018
19.1,22.9,1018.2,False,39.0,153,1.3,3,2018
19.0,23.5,1018.3,False,39.0,82,1.8,3,2018
19.5,23.1,1018.3,False,38.7,60,2.1,3,2018
19.6,23.4,1018.4,False,38.6,48,3.1,3,2018
19.6,23.6,1018.3,False,38.5,35,1.3,3,2018
19.8,23.4,1018.4,False,38.3,109,1.4,3,2018
19.6,23.5,1018.4,False,38.2,96,1.7,3,2018
19.7,23.1,1018.4,False,38.0,226,2.4,3,2018
19.5,23.3,1018.3,False,38.0,0,1.1,3,2018
19.8,22.9,1018.3,False,38.1,241,1.0,3,2018
19.8,22.6,1018.3,False,38.1,215,1.2,3,2018
19.9,23.4,1018.4,False,38.0,85,2.1,3,2018
20.2,22.6,1018.3,False,37.9,199,1.1,3,2018
20.2,21.8,1018.3,False,37.9,252,1.7,3,2018
20.0,21.3,1018.3,False,38.0,239,1.9,3,2018
19.4,22.7,1018.3,False,37.9,263,1.5,3,2018
19.4,22.8,1018.3,False,37.9,77,0.9,3,2018
19.5,23.0,1018.3,False,38.2,102,1.8,3,2018
19.4,23.3,1018.3,False,38.2,143,2.2,3,2018
19.4,23.4,1018.3,False,37.9,157,1.5,3,2018
19.4,23.3,1018.4,False,37.9,190,2.0,3,2018
19.3,22.7,1018.3,False,37.9,80,1.7,3,2018
19.4,22.9,1018.3,False,37.9,200,1.9,3,2018
19.2,23.7,1018.3,False,37.6,95,2.3,3,2018
19.3,23.5,1018.3,False,37.6,98,1.1,3,2018
19.3,23.5,1018.3,False,37.6,98,1.1,3,2018
19.3,24.3,1018.3,False,37.6,139,1.5,3,2018
19.4,24.3,1018.3,False,37.6,95,1.7,3,2018
19.3,23.9,1018.3,False,37.7,107,2.6,3,2018
19.2,23.7,1018.2,False,37.6,74,2.1,3,2018
19.1,24.0,1018.2,False,37.4,86,1.2,3,2018
19.3,23.7,1018.1,False,37.4,117,1.2,3,2018
19.3,24.1,1018.1,False,37.6,165,0.8,3,2018
19.3,23.8,1018.2,False,37.6,77,1.3,3,2018
19.3,23.5,1018.1,False,37.7,63,1.9,3,2018
19.2,24.4,1018.1,False,37.5,68,1.3,3,2018
19.5,24.6,1018.2,False,37.7,82,2.2,3,2018
19.5,24.0,1018.1,False,37.7,0,1.8,3,2018
19.5,23.6,1018.1,False,37.6,278,1.6,3,2018
19.4,24.3,1018.1,False,37.5,191,2.9,3,2018
19.4,23.8,1018.2,False,37.6,271,1.7,3,2018
19.6,24.1,1018.1,False,37.7,233,1.4,3,2018
19.6,23.9,1018.1,False,37.8,283,2.3,3,2018
19.9,22.9,1018.2,False,37.8,86,1.4,3,2018
19.8,23.5,1018.2,False,37.7,79,1.8,3,2018
19.8,22.9,1018.0,False,37.6,78,2.4,3,2018
19.5,23.0,1017.9,False,37.2,83,2.8,3,2018
19.4,23.5,1017.9,False,37.1,81,3.5,3,2018
19.6,23.3,1018.0,False,37.1,76,3.1,3,2018
19.6,23.2,1018.0,False,36.0,91,2.7,3,2018
19.7,23.5,1018.0,False,35.3,70,1.8,3,2018
19.9,23.1,1018.0,False,35.2,38,2.0,3,2018
19.9,23.3,1018.1,False,34.5,77,1.4,3,2018
20.0,23.3,1018.0,False,34.2,77,2.3,3,2018
20.0,22.8,1018.0,False,33.9,94,2.5,3,2018
19.7,22.7,1018.0,False,33.5,46,0.7,3,2018
19.7,23.4,1018.0,False,33.4,106,1.3,3,2018
19.6,23.3,1018.0,False,33.4,124,0.7,3,2018
19.6,23.2,1018.0,False,32.9,202,1.0,3,2018
19.5,23.5,1018.0,False,35.0,214,1.7,3,2018
19.4,24.1,1018.0,False,35.0,207,2.1,3,2018
19.1,24.0,1017.9,False,35.0,100,2.1,3,2018
19.0,24.6,1017.9,False,35.0,234,1.8,3,2018
19.0,24.2,1017.9,False,35.0,207,1.7,3,2018
18.8,24.9,1018.0,False,36.3,251,1.5,3,2018
18.9,25.3,1018.0,False,36.3,221,2.3,3,2018
19.0,24.9,1018.0,False,37.0,86,2.3,3,2018
19.2,24.8,1018.1,False,37.0,242,2.2,3,2018
19.2,24.1,1018.0,False,37.0,214,1.6,3,2018
19.2,24.9,1018.0,False,37.0,287,1.3,3,2018
19.1,24.7,1017.9,False,38.0,238,2.0,3,2018
19.1,24.9,1017.8,False,38.0,101,1.9,3,2018
19.2,24.9,1017.8,False,38.0,237,1.5,3,2018
19.2,24.9,1017.8,False,38.0,237,1.5,3,2018
19.3,26.2,1017.8,False,38.0,87,2.0,3,2018
19.4,25.6,1018.0,False,38.0,156,1.8,3,2018
19.4,25.3,1017.9,False,38.0,66,1.6,3,2018
19.6,24.9,1017.9,False,38.0,151,1.2,3,2018
19.6,24.8,1017.9,False,38.0,128,2.2,3,2018
19.4,25.1,1018.0,False,37.5,94,2.1,3,2018
19.5,25.2,1018.1,False,37.5,129,3.4,3,2018
19.3,25.5,1018.2,False,37.5,87,2.1,3,2018
19.5,25.2,1018.1,False,37.5,78,2.4,3,2018
19.6,25.1,1018.2,False,37.5,120,3.1,3,2018
19.4,25.1,1018.1,False,37.5,85,2.7,3,2018
19.3,25.1,1018.1,False,37.5,115,1.9,3,2018
19.2,25.5,1018.1,False,37.0,158,2.2,3,2018
19.2,25.5,1018.1,False,37.0,62,1.1,3,2018
19.3,26.1,1018.1,False,37.0,152,1.7,3,2018
19.6,25.7,1018.2,False,37.0,117,1.9,3,2018
19.7,25.4,1018.1,False,37.0,80,1.7,3,2018
19.8,24.9,1018.1,False,37.0,53,1.2,3,2018
19.9,24.9,1018.1,False,37.0,83,1.8,3,2018
19.9,25.2,1018.2,False,37.0,135,2.4,3,2018
19.7,25.1,1018.1,False,36.5,65,2.2,3,2018
19.6,24.9,1018.1,False,36.5,66,2.1,3,2018
19.4,25.6,1018.1,False,36.5,78,2.8,3,2018
19.6,25.2,1018.0,False,36.5,78,3.3,3,2018
19.5,25.5,1018.1,False,36.5,141,3.2,3,2018
19.4,26.1,1018.2,False,36.5,107,1.6,3,2018
19.6,25.6,1018.1,False,36.5,85,2.2,3,2018
19.6,25.6,1018.1,False,36.5,80,2.0,3,2018
19.6,25.6,1018.1,False,36.5,120,1.1,3,2018
19.4,25.8,1018.1,False,36.5,118,0.9,3,2018
19.2,27.0,1018.1,False,36.5,152,1.2,3,2018
19.1,26.8,1018.1,True,28.3,84,0.8,3,2018
19.1,26.8,1018.1,True,28.3,84,0.8,3,2018
17.2,46.1,1021.7,False,27.1,86,2.1,4,2018
17.1,46.1,1021.5,False,27.2,9,2.1,4,2018
17.1,46.3,1021.5,False,27.3,97,2.2,4,2018
17.1,46.4,1021.8,False,27.5,80,2.5,4,2018
17.1,46.1,1021.9,False,27.7,268,3.0,4,2018
17.1,46.1,1021.6,False,27.9,97,2.2,4,2018
17.1,46.1,1021.6,False,27.9,97,2.2,4,2018
17.1,46.1,1021.6,False,27.9,64,3.4,4,2018
17.1,46.6,1021.8,False,27.7,92,3.0,4,2018
17.0,46.5,1021.7,False,28.0,71,2.8,4,2018
17.0,46.5,1021.5,False,28.0,62,3.2,4,2018
16.8,47.4,1021.6,False,27.8,89,2.5,4,2018
17.0,47.1,1021.8,False,27.8,10,3.3,4,2018
16.9,47.1,1021.7,False,27.7,275,1.9,4,2018
16.8,47.4,1021.5,False,27.5,58,2.2,4,2018
16.7,47.8,1021.6,False,27.5,46,1.9,4,2018
16.7,47.8,1021.6,False,27.5,46,1.9,4,2018
16.8,47.6,1021.8,False,27.7,84,3.2,4,2018
16.9,47.5,1021.8,False,27.5,87,2.3,4,2018
16.8,47.4,1021.7,False,27.2,6,1.6,4,2018
16.8,47.5,1021.7,False,27.2,225,1.7,4,2018
16.8,46.9,1021.5,False,27.2,31,3.6,4,2018
16.8,47.1,1021.6,False,27.1,69,2.9,4,2018
16.9,46.7,1021.8,False,26.9,68,2.7,4,2018
16.8,46.9,1021.5,False,26.9,335,3.0,4,2018
16.6,47.5,1021.8,False,26.8,286,1.7,4,2018
16.5,47.2,1021.5,False,26.7,228,2.2,4,2018
16.5,47.2,1021.5,False,26.7,228,2.2,4,2018
16.7,46.9,1021.6,False,26.7,49,2.8,4,2018
16.8,47.1,1021.7,False,26.5,74,2.0,4,2018
16.8,47.1,1021.7,False,26.5,74,2.0,4,2018
16.8,47.1,1021.8,False,26.4,80,2.2,4,2018
16.8,46.8,1021.7,False,26.3,314,2.5,4,2018
16.8,46.7,1021.7,False,26.2,79,1.9,4,2018
16.7,46.9,1021.7,False,26.1,53,3.2,4,2018
16.7,46.8,1021.8,False,26.0,22,2.2,4,2018
16.6,47.3,1021.9,False,26.0,71,1.1,4,2018
16.7,47.3,1022.2,False,25.8,230,2.4,4,2018
16.6,47.5,1021.8,False,25.7,27,2.0,4,2018
16.6,47.5,1021.8,False,25.7,27,2.0,4,2018
16.7,47.4,1021.7,False,25.7,76,2.8,4,2018
16.7,46.8,1021.9,False,25.7,137,3.9,4,2018
16.7,47.3,1021.6,False,25.6,62,2.1,4,2018
16.5,47.5,1021.8,False,25.5,45,3.5,4,2018
16.5,47.4,1021.8,False,25.4,279,2.8,4,2018
16.4,47.5,1021.9,False,25.4,62,2.0,4,2018
16.5,46.8,1021.8,False,25.3,38,2.4,4,2018
16.5,47.5,1021.9,False,25.3,71,1.6,4,2018
16.5,47.1,1022.0,False,25.3,25,2.7,4,2018
16.5,47.1,1022.0,False,25.1,274,2.9,4,2018
16.5,47.1,1022.0,False,25.1,274,2.9,4,2018
16.5,47.1,1022.0,False,25.1,326,1.4,4,2018
16.4,46.9,1022.1,False,25.1,96,2.0,4,2018
16.4,46.9,1021.9,False,25.0,49,2.1,4,2018
16.4,47.1,1022.2,False,25.0,100,2.0,4,2018
16.5,46.9,1021.9,False,25.0,90,3.1,4,2018
16.5,46.8,1022.0,False,24.9,69,2.8,4,2018
16.5,46.8,1022.0,False,24.9,69,2.8,4,2018
16.5,46.4,1022.0,False,24.9,11,2.0,4,2018
16.4,46.5,1021.8,False,24.9,305,1.6,4,2018
16.4,46.7,1022.0,False,24.9,112,1.0,4,2018
16.6,46.3,1022.2,False,24.7,28,2.4,4,2018
16.5,46.0,1022.0,False,24.7,342,1.9,4,2018
16.5,46.2,1022.0,False,24.7,356,1.7,4,2018
16.5,46.4,1022.0,False,24.7,44,2.1,4,2018
16.5,46.2,1022.0,False,24.6,50,2.7,4,2018
16.4,46.8,1022.3,False,24.5,68,2.4,4,2018
16.3,46.9,1021.9,False,24.3,231,1.2,4,2018
16.4,46.7,1022.1,False,24.4,112,2.0,4,2018
16.6,46.0,1021.8,False,24.4,298,2.2,4,2018
16.5,46.0,1022.1,False,24.4,255,2.1,4,2018
16.5,45.8,1022.1,False,24.3,65,2.9,4,2018
16.5,45.8,1022.1,False,24.3,65,2.9,4,2018
16.4,45.9,1022.1,False,24.3,64,2.2,4,2018
16.5,45.6,1022.2,False,24.2,335,1.6,4,2018
16.5,45.3,1021.9,False,24.1,50,2.9,4,2018
16.5,45.3,1021.9,False,24.1,50,2.9,4,2018
16.4,45.3,1022.1,False,23.9,113,2.6,4,2018
16.5,45.3,1022.1,False,23.9,225,2.4,4,2018
16.6,44.6,1022.0,False,23.9,215,2.5,4,2018
16.6,44.7,1021.9,False,23.8,295,1.5,4,2018
16.5,44.3,1022.0,False,24.1,331,2.3,4,2018
16.6,44.0,1022.1,False,23.9,17,2.0,4,2018
16.6,43.7,1022.1,False,23.9,354,2.5,4,2018
16.5,44.0,1022.1,False,23.7,28,2.4,4,2018
16.5,44.1,1022.0,False,23.7,37,2.4,4,2018
16.5,44.1,1022.0,False,23.7,37,2.4,4,2018
16.6,43.3,1022.1,False,23.4,263,2.5,4,2018
16.5,43.6,1022.2,False,23.7,86,1.4,4,2018
16.6,43.7,1022.1,False,23.7,95,2.0,4,2018
16.6,43.3,1022.2,False,23.7,55,3.4,4,2018
16.6,43.0,1022.1,False,23.5,227,1.2,4,2018
16.6,43.0,1022.1,False,23.5,227,1.2,4,2018
16.6,42.7,1022.0,False,23.6,313,1.6,4,2018
16.6,42.9,1022.1,False,23.6,12,1.5,4,2018
16.6,42.8,1022.2,False,23.6,272,1.4,4,2018
16.6,42.8,1022.2,False,23.6,272,1.4,4,2018
16.8,42.4,1022.1,False,23.6,49,2.2,4,2018
16.8,42.4,1022.1,False,23.6,49,2.2,4,2018
16.6,42.6,1022.0,False,23.6,233,1.2,4,2018
16.7,42.7,1022.1,False,23.6,102,1.9,4,2018
16.7,42.7,1022.1,False,23.6,45,2.4,4,2018
16.7,42.7,1022.0,False,23.6,79,1.8,4,2018
16.7,42.7,1022.0,False,23.6,79,1.8,4,2018
16.7,43.1,1021.9,False,23.7,165,2.5,4,2018
16.9,42.2,1022.1,False,23.9,82,1.0,4,2018
16.9,42.2,1022.1,False,23.9,82,1.0,4,2018
16.8,42.7,1022.1,False,23.9,68,2.1,4,2018
16.7,42.8,1022.1,False,23.7,34,1.8,4,2018
16.7,42.6,1022.3,False,23.7,43,1.3,4,2018
16.7,42.6,1022.3,False,23.7,43,1.3,4,2018
16.6,43.2,1022.1,False,23.7,51,2.6,4,2018
16.6,43.3,1022.1,False,23.6,150,1.8,4,2018
16.7,43.4,1022.3,False,23.7,7,1.6,4,2018
15.1,55.7,1001.8,False,35.0,84,1.1,5,2018
15.4,55.1,1001.7,False,35.0,21,1.4,5,2018
15.3,54.4,1001.6,False,35.0,8,1.5,5,2018
15.1,54.6,1001.8,False,35.0,62,1.9,5,2018
15.1,54.4,1001.7,True,35.0,3,1.9,5,2018
15.1,54.9,1001.6,True,35.0,86,1.6,5,2018
14.9,54.2,1001.6,True,35.0,78,2.6,5,2018
15.2,54.1,1001.6,True,35.0,96,1.4,5,2018
15.3,54.1,1001.6,False,35.0,219,1.1,5,2018
15.5,54.3,1001.6,True,35.0,161,2.4,5,2018
15.9,53.3,1001.5,True,35.0,230,0.6,5,2018
16.0,52.9,1001.5,True,35.0,0,1.4,5,2018
